id,name,experience,alternate_url,salary from,salary to,key_skills,analysis_field
88893094,Главный бухгалтер,Более 6 лет,https://hh.ru/vacancy/88893094,100000.0,170000.0,"['Руководство коллективом', '1С: Бухгалтерия', 'Бухгалтерский учет', 'Управление бухгалтерией', 'Финансовая отчетность', 'Упрощенная Система Налогообложения', 'Розничная торговля', 'Участок ""Касса""']",Бухгалтер
87933137,Главный бухгалтер,От 3 до 6 лет,https://hh.ru/vacancy/87933137,,140000.0,[],Бухгалтер
88859523,Главный бухгалтер,От 3 до 6 лет,https://hh.ru/vacancy/88859523,120000.0,150000.0,[],Бухгалтер
87740815,Главный бухгалтер,От 3 до 6 лет,https://hh.ru/vacancy/87740815,,,[],Бухгалтер
87926798,Старший бухгалтер,От 3 до 6 лет,https://hh.ru/vacancy/87926798,70000.0,75000.0,[],Бухгалтер
88035614,Ведущий бухгалтер,От 3 до 6 лет,https://hh.ru/vacancy/88035614,60000.0,,"['прохождение налоговых проверок', 'Российские стандарты бухгалтерского учета', 'Локальное налогообложение', 'Международное налогообложение', '1С: Предприятие 8']",Бухгалтер
88819195,"Главный бухгалтер (м. Красные ворота, г. Москва)",От 3 до 6 лет,https://hh.ru/vacancy/88819195,100000.0,120000.0,"['Ведения бухгалтерского/налогового учёта, подготовка и сдача отчётности (ОСНО, УСН)', 'Хорошее знание 1C Бухгалтерия 8.3, ЗУП, УТ.', 'Опытный пользователь ПК, Word, Ехсеl, и другого программного обеспечения']",Бухгалтер
88516155,Старший бухгалтер/ведущий бухгалтер,От 3 до 6 лет,https://hh.ru/vacancy/88516155,75000.0,100000.0,"['Авансовые отчеты', 'Первичная бухгалтерская документация', 'ТМЦ', 'Основные средства', 'Расчеты с поставщиками', 'Дебиторская задолженность', 'Банк-клиент']",Бухгалтер
87337072,Ведущий бухгалтер (услуги),От 3 до 6 лет,https://hh.ru/vacancy/87337072,,,[],Бухгалтер
87800180,Главный бухгалтер в единственном лице,От 3 до 6 лет,https://hh.ru/vacancy/87800180,100000.0,120000.0,"['1C: Бухгалтерия', 'Годовой баланс', 'Отчетность в ФСС', 'Расчет затрат', 'Российские стандарты бухгалтерского учета', 'СБиС', '1С: Документооборот', 'Точность и внимательность к деталям', '1С: Зарплата и кадры', 'Взаимодействие с государственными контролирующими органами', 'Кадровое делопроизводство']",Бухгалтер
87628768,Ведущий бухгалтер/главный бухгалтер,От 3 до 6 лет,https://hh.ru/vacancy/87628768,100000.0,140000.0,[],Бухгалтер
87678516,Помошник Главного бухгалтера,От 3 до 6 лет,https://hh.ru/vacancy/87678516,80000.0,,[],Бухгалтер
88137542,Главный бухгалтер,Нет опыта,https://hh.ru/vacancy/88137542,,,"['Организаторские навыки', 'Расчет заработной платы', 'Бухгалтерский учет', 'прохождение налоговых проверок', 'Налоговая отчетность', 'Финансовый анализ', 'Финансовая отчетность', 'Взаимодействие с контрольными органами', 'Руководство коллективом', 'Управление бухгалтерией', 'Финансовый менеджмент', 'Налоговое законодательство']",Бухгалтер
86868784,Ведущий бухгалтер (ведение учёта отдельного юридического лица),От 1 года до 3 лет,https://hh.ru/vacancy/86868784,,,"['Ведение отчетности', 'Бухгалтерская отчетность', 'Налоговая отчетность', 'Отчет о прибылях и убытках']",Бухгалтер
88207237,Главный бухгалтер в единственном лице (м.ВДНХ),От 3 до 6 лет,https://hh.ru/vacancy/88207237,120000.0,150000.0,"['Бухгалтерская отчетность', 'Статистическая отчетность', '1С: Предприятие: Бухгалтерский Учет', 'Годовой баланс', 'Расчет заработной платы', 'Налоговая отчетность', 'Управленческая отчетность']",Бухгалтер
88482078,Заместитель главного бухгалтера,Более 6 лет,https://hh.ru/vacancy/88482078,100000.0,160000.0,"['Бухгалтерская отчетность', '1С: Предприятие: Бухгалтерский Учет', 'Отчет о прибылях и убытках', 'Налоговое законодательство', 'Основные средства', 'Бухгалтерский учет', '1С: Предприятие 8', 'Финансовая отчетность', 'Налоговый учет', 'ТМЦ', 'Кредиторская задолженность']",Бухгалтер
88591550,Главный бухгалтер (пищевое производство),Более 6 лет,https://hh.ru/vacancy/88591550,,,"['1С: Производство', 'Управленческие навыки', 'Планирование']",Бухгалтер
88282921,Помощник главного бухгалтера,От 1 года до 3 лет,https://hh.ru/vacancy/88282921,,,[],Бухгалтер
87965739,Главный бухгалтер,Более 6 лет,https://hh.ru/vacancy/87965739,180000.0,,[],Бухгалтер
